slug,总分,SEO技术分,内容质量分,关键词优化分,用户体验分,差异化分,AI痕迹扣分,结构相似度%,主要问题,优化建议
winter-vs-summer-blood-pressure-what-seniors-need-to-know,74,14,27,8,15,10,0,3.5,描述长度不佳(117字符); 标题未包含主关键词,优化关键词密度
healthy-carbohydrate-choices-for-diabetics-in-their-60s-and-70s,73,10,30,8,15,10,0,2.1,描述长度不佳(79字符); 标题未包含主关键词,补充内链
blood-pressure-changes-during-menopause-what-women-should-know,72,12,30,6,15,10,1,3.4,描述长度不佳(119字符); 标题未包含主关键词,优化关键词密度
blood-sugar-friendly-holiday-gift-ideas-for-diabetics-over-70,71,14,22,10,15,10,0,0.6,描述长度不佳(100字符); 标题未包含主关键词,优化关键词密度
best-warm-heart-healthy-soups-for-seniors-with-high-cholesterol,71,12,24,10,15,10,0,0.6,标题未包含主关键词; 缺少内链,补充内链
best-fruits-for-diabetics-over-50-and-which-to-limit,71,12,23,11,15,10,0,0.0,描述长度不佳(93字符); 缺少内链,补充内链
should-you-adjust-your-blood-pressure-goals-in-winter,71,12,27,8,15,10,1,2.0,描述长度不佳(117字符); 标题未包含主关键词,优化关键词密度
diabetes-and-vision-changes-what-seniors-need-to-know,70,12,27,6,15,10,0,10.5,描述长度不佳(109字符); 标题未包含主关键词,优化关键词密度
how-vision-changes-might-be-linked-to-heart-disease,70,12,27,6,15,10,0,5.4,描述长度不佳(90字符); 标题未包含主关键词,优化关键词密度
meal-timing-strategies-for-better-blood-sugar-control-after-50,70,12,25,8,15,10,0,4.2,描述长度不佳(85字符); 标题未包含主关键词,优化关键词密度
blood-pressure-readings-at-home-vs-doctor-s-office-why-they-differ,70,10,26,10,15,10,1,2.1,描述长度不佳(92字符); 标题未包含主关键词,补充内链
the-link-between-sleep-apnea-and-high-blood-pressure,70,12,25,8,15,10,0,1.0,描述长度不佳(115字符); 标题未包含主关键词,优化关键词密度
how-type-2-diabetes-increases-heart-disease-risk-after-50,69,14,27,6,12,10,0,7.0,标题未包含主关键词; 关键词密度过低(0.33%),优化关键词密度
can-strength-training-lower-heart-disease-risk-after-60,69,10,30,6,15,10,2,0.3,描述长度不佳(97字符); 标题未包含主关键词,补充内链
the-role-of-magnesium-in-maintaining-a-healthy-heart-after-50,69,12,27,6,15,10,1,0.3,描述长度不佳(111字符); 标题未包含主关键词,优化关键词密度
can-vitamin-d-deficiency-increase-your-risk-of-heart-disease,68,10,27,6,15,10,0,0.0,描述长度不佳(118字符); 标题未包含主关键词,补充内链
can-gardening-improve-heart-health-after-50,68,12,25,6,15,10,0,0.3,标题未包含主关键词; 关键词密度过低(0.19%),优化关键词密度
a-guide-to-allergen-friendly-family-meals-for-mixed-diet-households,68,12,23,8,15,10,0,5.5,标题未包含主关键词; 缺少内链,补充内链
the-impact-of-long-term-nsaid-use-on-heart-disease-risk,68,10,27,6,15,10,0,1.8,描述长度不佳(106字符); 标题未包含主关键词,补充内链
can-hydration-prevent-winter-blood-pressure-spikes-after-age-70,68,14,24,8,12,10,0,1.7,描述长度不佳(117字符); 标题未包含主关键词,优化关键词密度
why-your-fasting-blood-sugar-rises-during-the-holidays-and-what-to-do,68,12,25,6,15,10,0,5.5,标题未包含主关键词; 缺少内链,补充内链
best-blood-sugar-friendly-holiday-drinks-for-diabetics-over-65,68,18,17,8,15,10,0,2.7,标题未包含主关键词; 缺少研究引用/数据支持,优化关键词密度
how-menopause-affects-blood-sugar-control-in-women-with-diabetes,68,12,27,6,15,10,2,4.0,描述长度不佳(99字符); 标题未包含主关键词,优化关键词密度
are-morning-stiff-joints-a-sign-of-inflammation-that-hurts-your-heart,67,10,30,6,15,10,4,2.2,描述长度不佳(92字符); 标题未包含主关键词,补充内链
the-role-of-fiber-in-controlling-blood-sugar-after-50,67,10,22,10,15,10,0,2.1,描述长度不佳(97字符); 标题未包含主关键词,补充内链
how-menopause-affects-heart-disease-risk-in-women,67,10,26,6,15,10,0,4.9,描述长度不佳(99字符); 标题未包含主关键词,优化关键词密度
how-chronic-inflammation-worsens-type-2-diabetes-after-50,67,10,24,8,15,10,0,6.4,描述长度不佳(90字符); 标题未包含主关键词,补充内链
can-meditation-reduce-heart-disease-risk-after-50,67,12,25,8,12,10,0,0.0,描述长度不佳(119字符); 标题未包含主关键词,优化关键词密度
how-standing-up-too-fast-affects-blood-pressure-in-older-adults,67,12,24,6,15,10,0,0.3,描述长度不佳(101字符); 标题未包含主关键词,优化关键词密度
how-cold-weather-affects-blood-sugar-in-people-with-diabetes,67,10,27,6,15,10,1,1.4,描述长度不佳(89字符); 标题未包含主关键词,补充内链
the-truth-about-artificial-sweeteners-and-insulin-response-in-seniors,67,12,25,6,15,10,1,1.2,描述长度不佳(91字符); 标题未包含主关键词,优化关键词密度
can-meditation-lower-blood-pressure-naturally,66,8,27,6,15,10,0,0.0,描述长度不佳(111字符); 标题未包含主关键词,补充内链
how-to-eat-mindfully-at-buffets-without-spiking-blood-sugar,66,12,20,10,15,10,1,0.4,标题未包含主关键词; 缺少内链,补充内链
5-smart-substitutions-for-classic-holiday-dishes-that-won-t-spike-glucose,65,12,20,8,15,10,0,3.3,描述长度不佳(116字符); 标题未包含主关键词,优化关键词密度
how-dehydration-affects-blood-sugar-readings-in-older-diabetics,65,12,23,6,15,10,1,9.2,描述长度不佳(95字符); 标题未包含主关键词,优化关键词密度
why-winter-increases-heart-attack-risk-in-seniors-over-70,65,14,21,6,15,10,1,1.8,标题未包含主关键词; 关键词密度过低(0.25%),优化关键词密度
can-hearing-loss-be-an-early-sign-of-heart-disease,65,10,24,6,15,10,0,7.5,描述长度不佳(95字符); 标题未包含主关键词,补充内链
are-sugar-free-treats-actually-safe-for-diabetics-over-65,65,14,18,8,15,10,0,2.3,描述长度不佳(106字符); 标题未包含主关键词,优化关键词密度
the-link-between-sleep-apnea-and-high-blood-pressure-after-50,65,12,24,4,15,10,0,6.4,描述长度不佳(104字符); 标题未包含主关键词,优化关键词密度
can-cold-weather-raise-your-blood-pressure,64,14,22,6,12,10,0,5.7,标题未包含主关键词; 关键词密度过低(0.45%),优化关键词密度
heart-disease-warning-signs-that-appear-years-in-advance,64,10,23,6,15,10,0,4.1,描述长度不佳(116字符); 标题未包含主关键词,补充内链
can-deep-breathing-exercises-lower-heart-disease-risk,64,10,23,6,15,10,0,0.3,描述长度不佳(108字符); 标题未包含主关键词,补充内链
can-cold-hands-signal-poor-circulation-or-heart-issues,64,10,23,6,15,10,0,0.0,描述长度不佳(97字符); 标题未包含主关键词,补充内链
quick-15-minute-post-meal-walks-how-they-help-seniors-digest-holiday-food,63,10,22,6,15,10,0,4.2,标题未包含主关键词; 缺少内链,补充内链
how-does-cold-weather-affect-blood-pressure-in-older-adults,63,14,20,4,15,10,0,1.9,描述长度不佳(115字符); 标题未包含主关键词,优化关键词密度
simple-steps-to-stay-hydrated-during-winter-holidays-when-you-re-over-70,63,12,20,6,15,10,0,2.1,标题未包含主关键词; 关键词密度过低(0.42%),优化关键词密度
can-you-enjoy-thanksgiving-if-you-have-high-blood-pressure,63,12,18,8,15,10,0,0.5,标题未包含主关键词; 缺少内链,补充内链
best-high-fiber-sides-for-family-dinners-that-everyone-will-actually-eat,63,10,27,8,8,10,0,2.1,标题未包含主关键词; 缺少内链,补充内链
how-social-isolation-increases-heart-disease-risk-after-60,63,12,20,6,15,10,0,5.8,描述长度不佳(102字符); 标题未包含主关键词,优化关键词密度
how-social-isolation-impacts-heart-disease-risk-in-older-adults,63,12,20,6,15,10,0,7.3,描述长度不佳(96字符); 标题未包含主关键词,优化关键词密度
is-sitting-too-much-harming-your-heart-after-60,63,10,22,6,15,10,0,5.2,描述长度不佳(95字符); 标题未包含主关键词,优化关键词密度
is-your-medication-causing-high-blood-pressure,63,10,20,8,15,10,0,5.3,标题未包含主关键词; 缺少内链,补充内链
is-your-posture-affecting-your-heart-what-older-adults-should-know,63,10,22,6,15,10,0,2.1,描述长度不佳(99字符); 标题未包含主关键词,补充内链
heart-rate-variability-explained,62,16,8,13,15,10,0,1.1,内容过短(676词); 缺少研究引用/数据支持,优化关键词密度
how-frequent-urination-at-night-could-signal-heart-problems,62,12,16,10,15,10,1,6.1,描述长度不佳(116字符); 标题未包含主关键词,优化关键词密度
how-pets-support-heart-health-in-older-adults,62,10,19,8,15,10,0,0.0,描述长度不佳(104字符); 标题未包含主关键词,优化关键词密度
blood-pressure-fluctuations-during-menopause-what-women-should-know,62,12,21,4,15,10,0,6.8,描述长度不佳(106字符); 标题未包含主关键词,优化关键词密度
the-hidden-link-between-gum-disease-and-heart-problems,62,12,19,6,15,10,0,1.3,描述长度不佳(119字符); 标题未包含主关键词,优化关键词密度
why-blood-pressure-matters-even-if-you-feel-fine,61,8,20,8,15,10,0,1.3,描述长度不佳(102字符); 标题未包含主关键词,补充内链
can-drinking-too-much-water-raise-blood-pressure,61,12,20,4,15,10,0,3.9,标题未包含主关键词; 关键词密度过低(0.00%),优化关键词密度
understanding-a1c-goals-for-seniors-with-diabetes,61,8,23,6,15,10,1,0.0,描述长度不佳(100字符); 标题未包含主关键词,补充内链
heart-disease-in-hispanic-adults-over-50-unique-risk-factors,61,12,19,13,8,10,1,2.1,描述长度不佳(114字符); 缺少内链,补充内链
the-link-between-diabetes-and-slow-healing-in-older-adults,61,10,20,6,15,10,0,4.9,描述长度不佳(89字符); 标题未包含主关键词,补充内链
recognizing-silent-heart-attacks-in-diabetics-over-60,61,10,20,6,15,10,0,1.0,描述长度不佳(104字符); 标题未包含主关键词,补充内链
how-poor-dental-hygiene-may-lead-to-heart-disease,61,10,24,4,15,10,2,0.0,描述长度不佳(98字符); 标题未包含主关键词,优化关键词密度
does-laughter-really-protect-your-heart-after-50,60,8,21,6,15,10,0,0.6,描述长度不佳(98字符); 标题未包含主关键词,补充内链
the-role-of-potassium-in-managing-blood-pressure-after-50,60,10,17,8,15,10,0,0.3,描述长度不佳(108字符); 标题未包含主关键词,补充内链
how-walking-speed-can-reflect-heart-health-and-blood-pressure,60,10,21,4,15,10,0,6.9,描述长度不佳(110字符); 标题未包含主关键词,补充内链
how-to-enjoy-alcohol-safely-during-holidays-without-triggering-heart-issues,60,10,19,6,15,10,0,3.9,标题未包含主关键词; 缺少内链,补充内链
can-intermittent-fasting-help-manage-type-2-diabetes-after-60,59,10,25,6,8,10,0,2.4,描述长度不佳(90字符); 标题未包含主关键词,补充内链
the-connection-between-frequent-urination-at-night-and-heart-health,59,12,16,6,15,10,0,1.8,描述长度不佳(91字符); 标题未包含主关键词,优化关键词密度
heart-disease-and-chronic-kidney-disease-the-dangerous-connection,59,12,16,6,15,10,0,6.1,描述长度不佳(85字符); 标题未包含主关键词,优化关键词密度
does-caffeine-raise-blood-pressure-after-age-60,59,8,20,6,15,10,0,0.7,描述长度不佳(111字符); 标题未包含主关键词,补充内链
how-chronic-stress-contributes-to-high-blood-pressure-over-time,59,10,18,6,15,10,0,5.5,描述长度不佳(109字符); 标题未包含主关键词,补充内链
why-sudden-weight-gain-could-be-a-red-flag-for-your-heart,58,10,17,6,15,10,0,1.4,描述长度不佳(89字符); 标题未包含主关键词,补充内链
how-sleep-affects-heart-health-after-50,58,10,19,4,15,10,0,1.3,标题长度不佳(39字符); 标题未包含主关键词,优化关键词密度
why-older-women-gain-weight-faster-during-the-holidays-after-menopause,58,12,22,6,8,10,0,6.6,标题未包含主关键词; 缺少内链,补充内链
best-supplements-for-blood-sugar-support-after-50,58,8,27,6,8,10,1,1.8,描述长度不佳(95字符); 标题未包含主关键词,补充内链
understanding-blood-pressure-numbers,57,14,9,9,15,10,0,0.2,内容过短(566词); 缺少研究引用/数据支持,优化关键词密度
when-to-worry-about-high-readings,55,14,10,6,15,10,0,0.3,标题未包含主关键词; 缺少研究引用/数据支持,优化关键词密度
is-low-blood-pressure-dangerous-for-seniors,55,10,15,6,15,10,1,6.6,描述长度不佳(116字符); 标题未包含主关键词,优化关键词密度
can-binge-drinking-during-festive-seasons-cause-atrial-fibrillation-in-older-adults,54,8,22,6,8,10,0,2.4,标题长度不佳(84字符); 标题未包含主关键词,补充内链
hidden-salt-10-surprising-foods-that-spike-blood-pressure,53,10,19,6,8,10,0,0.0,描述长度不佳(112字符); 标题未包含主关键词,补充内链
how-retirement-changes-affect-heart-health,52,8,20,6,8,10,0,11.3,描述长度不佳(103字符); 标题未包含主关键词,补充内链
